Year,Volcanic Explosivity Index,Volcano Type,Flag Tsunami,Flag Earthquake,Name and country
1104,5,Estratovolcán,True,True,Hekla(Iceland)
1151,1,Hileras de cráteres,True,True,Krisuvik(Iceland)
1206,2,Estratovolcán,True,True,Hekla(Iceland)
1329,3,Estratovolcán,False,False,Etna(Italy)
1485,2,Caldera,True,True,Aso(Japan)
1550,3,Volcán complejo,True,True,Dukono(Indonesia)
1576,3,Estratovolcán,True,True,Colima(Mexico)
1580,4,Volcán subglacial,True,True,Katla(Iceland)
1598,2,Volcán complejo,True,True,Asama(Japan)
1730,2,Respiradero de fisura,True,True,Lanzarote(Spain)
1772,3,Estratovolcán,True,True,Papandayan(Indonesia)
1781,4,Estratovolcán,False,True,Sakura-jima(Japan)
1826,2,Caldera,True,True,Aso(Japan)
1840,0,Volcán escudo,False,True,Kilauea(United States)
1840,3,Estratovolcán,True,True,Savo(Solomon Is.)
1850,2,Escudo piroclástico,True,True,Rabaul(Papua New Guinea)
1858,,Estratovolcán,True,True,Tate-yama(Japan)
1883,2,Volcán escudo,True,True,Karthala(Comoros)
1887,3,Estratovolcán,True,True,Mayon(Philippines)
1890,2,Estratovolcán,True,True,Makian(Indonesia)
1902,4,Estratovolcán,False,True,Pelee(Martinique)
1902,6,Estratovolcán,True,True,Santa Maria(Guatemala)
1936,3,Volcán complejo,True,True,Asama(Japan)
1937,2,Estratovolcán,True,True,Llaima(Chile)
1943,3,Volcán escudo,True,True,"Azul, Cerro(Ecuador)"
1951,4,Estratovolcán,True,True,Lamington(Papua New Guinea)
1970,,Caldera,True,True,Campi Flegrei(Italy)
1981,3,Estratovolcán,True,True,Semeru(Indonesia)
1983,1,Volcán complejo,False,True,Iliwerung(Indonesia)
1985,1,Estratovolcán,True,True,Etna(Italy)
1990,3,Estratovolcán,True,True,Sabancaya(Peru)
1990,,Estratovolcán,True,True,"Nyiragongo(Congo, DRC)"
1997,3,Estratovolcán,True,True,Semeru(Indonesia)
1999,3,Estratovolcán,False,True,Soufriere Hills(Montserrat)
2000,2,Estratovolcán,True,True,Merapi(Indonesia)
-1860,6,Estratovolcán,True,True,St. Helens(United States)
230,6,Caldera,True,True,Taupo(New Zealand)
1169,,Estratovolcán,False,False,Etna(Italy)
1566,3,Volcán escudo,True,True,Kirishima(Japan)
1597,4,Estratovolcán,True,True,Hekla(Iceland)
1640,3,Estratovolcán,True,True,Tungurahua(Ecuador)
1650,4,Volcán escudo,False,True,Santorini(Greece)
1660,4,Volcán subglacial,True,True,Katla(Iceland)
1672,3,Estratovolcán,True,True,Merapi(Indonesia)
1679,,Volcán escudo,True,False,Zukur(Yemen)
1717,3,Volcán escudo,True,True,Kirishima(Japan)
1741,4,Estratovolcán,False,True,Oshima-Oshima(Japan)
1753,2,Caldera,True,True,Grimsvotn(Iceland)
1780,4,Estratovolcán,False,True,Sakura-jima(Japan)
1817,4,Estratovolcán,True,True,Raung(Indonesia)
1833,2,Estratovolcán,True,True,Kaba(Indonesia)
1841,2,Estratovolcán,True,True,Kuchinoerabu-jima(Japan)
1843,0,Estratovolcán,False,True,Liamuiga(St. Kitts & Nevis)
1871,2,Estratovolcán,False,True,Ruang(Indonesia)
1899,2,Estratovolcán,True,True,Manam(Papua New Guinea)
1900,2,Volcán escudo,True,True,Kirishima(Japan)
1928,3,Estratovolcán,True,True,Mayon(Philippines)
1937,4,Escudo piroclástico,False,False,Rabaul(Papua New Guinea)
1946,2,Estratovolcán,True,True,Sakura-jima(Japan)
1953,0,Volcán complejo,False,True,St. Andrew Strait(Papua New Guinea)
1976,3,Estratovolcán,True,True,Sangay(Ecuador)
1977,3,Estratovolcán,True,True,Kliuchevskoi(Russia)
1981,,Estratovolcán,True,True,Mayon(Philippines)
1992,1,Estratovolcán,True,True,Karangetang [Api Siau](Indonesia)
1994,3,Escudo piroclástico,False,True,Rabaul(Papua New Guinea)
1997,2,Estratovolcán,True,True,Merapi(Indonesia)
2005,4,Estratovolcán,True,True,Manam(Papua New Guinea)
2006,,Estratovolcán,True,True,Raoul Island(New Zealand)
2014,,Estratovolcán,True,True,Fogo(Cape Verde)
2015,2,Estratovolcán,True,True,Manam(Papua New Guinea)
-1900,6,Estratovolcán,True,True,Black Peak(United States)
1477,6,Estratovolcán,True,True,Bardarbunga(Iceland)
1597,3,Estratovolcán,True,True,Raung(Indonesia)
1673,5,Estratovolcán,False,True,Gamkonora(Indonesia)
1754,4,Estratovolcán,False,False,Taal(Philippines)
1768,4,Estratovolcán,True,True,Cotopaxi(Ecuador)
1792,2,Volcán complejo,False,False,Unzen(Japan)
1814,4,Estratovolcán,True,True,Mayon(Philippines)
1815,7,Estratovolcán,False,True,Tambora(Indonesia)
1818,4,Estratovolcán,True,True,Colima(Mexico)
1854,3,Estratovolcán,False,True,Alaid(Russia)
1863,,Estratovolcán,False,False,Yasur(Vanuatu)
1872,4,Estratovolcán,True,True,Merapi(Indonesia)
