Team,Nationality,Position,Age,Potential,Name
Borussia Dortmund ,Germany,Medio Izquierdo|Medio Centro|Medio Centro Ofensivo,24,Muy Bueno,Julian Brandt
Leicester City ,Portugal,Lateral Derecho,26,Muy Bueno,Ricardo Pereira
Atlético Madrid ,Ghana,Medio Centro Defensivo|Medio Centro,27,Muy Bueno,Thomas Partey
FC Bayern München ,Germany,Medio Centro Defensivo|Medio Centro|Medio Centro Ofensivo,25,Muy Bueno,Leon Goretzka
Atlético Madrid ,Brazil,Defensa Central,31,Muy Bueno,Felipe
Chelsea ,Croatia,Medio Centro,26,Muy Bueno,Mateo Kovacic
Chelsea ,Italy,Medio Centro Defensivo|Medio Centro,28,Muy Bueno,Jorginho
Olympique Lyonnais ,Netherlands,Medio Centro Ofensivo|Media Punta|Extremo Izquierdo,26,Muy Bueno,Memphis Depay
Atalanta ,Slovenia,Delantero Centro|Media Punta,32,Muy Bueno,Josip Ilicic
Napoli ,Brazil,Medio Centro,29,Muy Bueno,Allan
Lazio ,Italy,Defensa Central,32,Muy Bueno,Francesco Acerbi
Olympique Lyonnais ,Portugal,Portero,29,Muy Bueno,Anthony Lopes
AS Monaco Football Club SA ,France,Delantero Centro,29,Muy Bueno,Wissam Ben Yedder
Real Madrid ,Colombia,Medio Derecho|Medio Centro|Medio Centro Ofensivo,29,Muy Bueno,James Rodríguez
FC Barcelona ,Brazil,Portero,31,Muy Bueno,Neto
Paris Saint-Germain ,Senegal,Medio Centro Defensivo|Medio Centro,30,Muy Bueno,Idrissa Gueye
Arsenal ,France,Delantero Centro,29,Muy Bueno,Alexandre Lacazette
Napoli ,Greece,Defensa Central,29,Muy Bueno,Kostas Manolas
Juventus ,Brazil,Lateral Izquierdo|Medio Izquierdo,29,Muy Bueno,Alex Sandro
Juventus ,Brazil,Medio Izquierdo|Extremo Derecho|Extremo Izquierdo,29,Muy Bueno,Douglas Costa
Real Betis ,Spain,Medio Izquierdo|Medio Centro|Medio Centro Ofensivo,29,Muy Bueno,Canales
Shanghai SIPG FC ,Brazil,Medio Centro|Medio Centro Ofensivo|Extremo Izquierdo,28,Muy Bueno,Oscar
Manchester City ,Germany,Medio Centro Defensivo|Medio Centro,29,Muy Bueno,Ilkay Gündogan
Napoli ,Spain,Medio Derecho|Extremo Derecho,33,Muy Bueno,José Callejón
Chelsea ,Spain,Lateral Derecho|Lateral Izquierdo|Defensa Central,30,Muy Bueno,Azpilicueta
FC Barcelona ,Chile,Medio Centro Defensivo|Medio Centro|Medio Centro Ofensivo,33,Muy Bueno,Arturo Vidal
Roma ,Bosnia & Herzegovina,Delantero Centro,34,Muy Bueno,Edin Dzeko
Sevilla FC ,Argentina,Medio Centro Defensivo|Medio Centro,32,Muy Bueno,Éver Banega
Cagliari ,Belgium,Medio Centro|Medio Centro Ofensivo|Media Punta,32,Muy Bueno,Radja Nainggolan
Real Madrid ,Brazil,Lateral Izquierdo,32,Muy Bueno,Marcelo
Lazio ,Brazil,Medio Centro Defensivo,33,Muy Bueno,Lucas Leiva
Juventus ,France,Medio Centro Defensivo|Medio Centro,33,Muy Bueno,Blaise Matuidi
