team,nationality,position,age,potential,name
C Bayern Münche,France,Lateral Izquierdo | Defensa Central | ,24,Muy Bueno,Lucas Hernández
C Bayern Münche,France,Medio Derecho | Medio Izquierdo | Extremo Izquierdo | ,24,Muy Bueno,Kingsley Coman
C Port,Brazil,Lateral Izquierdo,27,Muy Bueno,Alex Telles
orussia Dortmun,Germany,Medio Izquierdo | Medio Centro | Medio Centro Ofensivo | ,24,Muy Bueno,Julian Brandt
eicester Cit,Portugal,Lateral Derecho,26,Muy Bueno,Ricardo Pereira
tlético Madri,Ghana,Medio Centro Defensivo | Medio Centro | ,27,Muy Bueno,Thomas Partey
C Bayern Münche,Germany,Medio Centro Defensivo | Medio Centro | Medio Centro Ofensivo | ,25,Muy Bueno,Leon Goretzka
tlético Madri,Brazil,Defensa Central,31,Muy Bueno,Felipe
helse,Croatia,Medio Centro,26,Muy Bueno,Mateo Kovacic
helse,Italy,Medio Centro Defensivo | Medio Centro | ,28,Muy Bueno,Jorginho
lympique Lyonnai,Netherlands,Medio Centro Ofensivo | Media Punta | Extremo Izquierdo | ,26,Muy Bueno,Memphis Depay
talant,Slovenia,Delantero Centro | Media Punta | ,32,Muy Bueno,Josip Ilicic
apol,Brazil,Medio Centro,29,Muy Bueno,Allan
azi,Italy,Defensa Central,32,Muy Bueno,Francesco Acerbi
lympique Lyonnai,Portugal,Portero,29,Muy Bueno,Anthony Lopes
S Monaco Football Club S,France,Delantero Centro,29,Muy Bueno,Wissam Ben Yedder
eal Madri,Colombia,Medio Derecho | Medio Centro | Medio Centro Ofensivo | ,29,Muy Bueno,James Rodríguez
C Barcelon,Brazil,Portero,31,Muy Bueno,Neto
aris Saint-Germai,Senegal,Medio Centro Defensivo | Medio Centro | ,30,Muy Bueno,Idrissa Gueye
rsena,France,Delantero Centro,29,Muy Bueno,Alexandre Lacazette
apol,Greece,Defensa Central,29,Muy Bueno,Kostas Manolas
uventu,Brazil,Lateral Izquierdo | Medio Izquierdo | ,29,Muy Bueno,Alex Sandro
uventu,Brazil,Medio Izquierdo | Extremo Derecho | Extremo Izquierdo | ,29,Muy Bueno,Douglas Costa
eal Beti,Spain,Medio Izquierdo | Medio Centro | Medio Centro Ofensivo | ,29,Muy Bueno,Canales
hanghai SIPG F,Brazil,Medio Centro | Medio Centro Ofensivo | Extremo Izquierdo | ,28,Muy Bueno,Oscar
anchester Cit,Germany,Medio Centro Defensivo | Medio Centro | ,29,Muy Bueno,Ilkay Gündogan
apol,Spain,Medio Derecho | Extremo Derecho | ,33,Muy Bueno,José Callejón
helse,Spain,Lateral Derecho | Lateral Izquierdo | Defensa Central | ,30,Muy Bueno,Azpilicueta
C Barcelon,Chile,Medio Centro Defensivo | Medio Centro | Medio Centro Ofensivo | ,33,Muy Bueno,Arturo Vidal
om,Bosnia & Herzegovina,Delantero Centro,34,Muy Bueno,Edin Dzeko
evilla F,Argentina,Medio Centro Defensivo | Medio Centro | ,32,Muy Bueno,Éver Banega
agliar,Belgium,Medio Centro | Medio Centro Ofensivo | Media Punta | ,32,Muy Bueno,Radja Nainggolan
eal Madri,Brazil,Lateral Izquierdo,32,Muy Bueno,Marcelo
azi,Brazil,Medio Centro Defensivo,33,Muy Bueno,Lucas Leiva
uventu,France,Medio Centro Defensivo | Medio Centro | ,33,Muy Bueno,Blaise Matuidi
orin,Italy,Portero,33,Muy Bueno,Salvatore Sirigu
olverhampton Wanderer,Portugal,Medio Centro,33,Muy Bueno,João Moutinho
C Barcelon,France,Extremo Derecho | Extremo Izquierdo | ,23,Sobresaliente,Ousmane Dembélé
rêmi,Brazil,Medio Centro Ofensivo | Extremo Derecho | ,28,Muy Bueno,Ronaldo Cabrais
rêmi,Brazil,Defensa Central,28,Muy Bueno,Josué Chiamulera
tlético Mineir,Brazil,Delantero Centro | Media Punta | ,28,Muy Bueno,Louri Beretta
eal Socieda,Spain,Extremo Derecho | Extremo Izquierdo | ,23,Muy Bueno,Oyarzabal
apol,Spain,Medio Centro,24,Muy Bueno,Fabián
ja,Netherlands,Medio Centro | Medio Centro Ofensivo | ,23,Muy Bueno,Donny van de Beek
om,Spain,Portero,25,Muy Bueno,Pau López
etafe C,Togo,Defensa Central,28,Muy Bueno,Dakonam Djené
L Benfic,Portugal,Medio Derecho | Medio Izquierdo | ,27,Muy Bueno,Rafa
SG 1899 Hoffenhei,Croatia,Delantero Centro | Medio Centro Ofensivo | ,29,Muy Bueno,Andrej Kramaric
nte,Croatia,Medio Centro Defensivo | Medio Centro | ,27,Muy Bueno,Marcelo Brozovic
talant,Colombia,Delantero Centro,29,Muy Bueno,Duván Zapata
uangzhou Evergrande Taobao F,Brazil,Medio Centro Ofensivo | Extremo Derecho | ,26,Muy Bueno,Anderson Talisca
azi,lbania,Portero,25,Muy Bueno,Thomas Strakosha
anchester Unite,France,Delantero Centro,24,Muy Bueno,Anthony Martial
ja,Argentina,Lateral Izquierdo,27,Muy Bueno,Nicolás Tagliafico
ottenham Hotspu,England,Medio Centro | Medio Centro Ofensivo | ,24,Muy Bueno,Dele Alli
ila,Italy,Defensa Central,25,Muy Bueno,Alessio Romagnoli
L Benfic,Spain,Lateral Izquierdo,24,Muy Bueno,Grimaldo
orussia Dortmun,Portugal,Lateral Izquierdo | Medio Izquierdo | Medio Centro | ,26,Muy Bueno,Raphaël Guerreiro
ja,Netherlands,Medio Centro Ofensivo | Extremo Izquierdo | ,28,Muy Bueno,Quincy Promes
intracht Frankfur,Serbia,Carrilero Izquierdo | Medio Izquierdo | Extremo Izquierdo | ,27,Muy Bueno,Filip Kostic
tlético Madri,Belgium,Medio Izquierdo,26,Muy Bueno,Yannick Carrasco
helse,Spain,Portero,25,Muy Bueno,Kepa
edipol Basaksehir F,Bosnia & Herzegovina,Medio Derecho,30,Muy Bueno,Edin Višca
apol,Poland,Delantero Centro,26,Muy Bueno,Arkadiusz Milik
eal Socieda,Spain,Medio Derecho | Media Punta | Extremo Derecho | ,28,Muy Bueno,Portu
lympique de Marseill,France,Medio Derecho | Extremo Derecho | ,27,Muy Bueno,Florian Thauvin
B Leipzi,Austria,Medio Centro | Medio Centro Ofensivo | ,26,Muy Bueno,Marcel Sabitzer
olverhampton Wanderer,Mexico,Delantero Centro,29,Muy Bueno,Raúl Jiménez
tlético Madri,Montenegro,Defensa Central,29,Muy Bueno,Stefan Savic
orussia Dortmun,Belgium,Medio Derecho | Medio Izquierdo | Media Punta | ,27,Muy Bueno,Thorgan Hazard
anchester Unite,England,Defensa Central,27,Muy Bueno,Harry Maguire
alencia C,Brazil,Defensa Central,29,Muy Bueno,Gabriel Paulista
tlético Madri,Spain,Delantero Centro,27,Muy Bueno,Morata
verto,France,Lateral Izquierdo,27,Muy Bueno,Lucas Digne
ja,Serbia,Medio Centro Ofensivo | Media Punta | Extremo Izquierdo | ,31,Muy Bueno,Dušan Tadic
ayer 04 Leverkuse,Chile,Medio Centro Defensivo | Medio Centro | ,31,Muy Bueno,Charles Aránguiz
aris Saint-Germai,Spain,Medio Centro Ofensivo | Extremo Derecho | ,28,Muy Bueno,Pablo Sarabia
