Year,Volcanic Explosivity Index,Volcano Type,Flag Tsunami,Flag Earthquake,Name and Country
1875,,Estratovolcán,False,False,Mayon(Philippines)
1889,2.0,Volcán submarino,False,False,Banua Wuhu(Indonesia)
1912,6.0,Caldera,False,False,Novarupta(United States)
1953,,Volcán complejo,False,False,Hakone(Japan)
1961,,Estratovolcán,False,False,Daisetsu(Japan)
1964,1.0,Volcán complejo,False,False,Dieng Volc Complex(Indonesia)
1965,0.0,Volcán submarino,False,False,Kick-'em-Jenny(Netherlands)
1971,2.0,Estratovolcán,False,False,Tinakula(Solomon Is.)
1976,2.0,Estratovolcán,False,False,Semeru(Indonesia)
1976,2.0,Estratovolcán,False,False,Karangetang [Api Siau](Indonesia)
1978,3.0,Estratovolcán,False,False,Santa Maria(Guatemala)
1983,2.0,Estratovolcán,False,False,Kliuchevskoi(Russia)
1986,3.0,Estratovolcán,False,False,Oshima(Japan)
1992,2.0,Estratovolcán,False,False,Karangetang [Api Siau](Indonesia)
2002,3.0,Estratovolcán,False,False,Karangetang [Api Siau](Indonesia)
2013,3.0,Estratovolcán,False,False,Paluweh(Indonesia)
2013,2.0,Estratovolcán,False,False,Sinabung(Indonesia)
2017,2.0,Estratovolcán,False,False,Sinabung(Indonesia)
2018,1.0,Caldera,False,False,Krakatau(Indonesia)
2019,,Estratovolcán,False,False,Ulawun(Papua New Guinea)
920,4.0,Volcán subglacial,False,False,Katla(Iceland)
1104,5.0,Estratovolcán,False,False,Hekla(Iceland)
1151,1.0,Hileras de cráteres,False,False,Krisuvik(Iceland)
1206,2.0,Estratovolcán,False,False,Hekla(Iceland)
1329,3.0,Estratovolcán,False,False,Etna(Italy)
1485,2.0,Caldera,False,False,Aso(Japan)
1550,3.0,Volcán complejo,False,False,Dukono(Indonesia)
1576,3.0,Estratovolcán,False,False,Colima(Mexico)
1580,4.0,Volcán subglacial,False,False,Katla(Iceland)
1598,2.0,Volcán complejo,False,False,Asama(Japan)
1730,2.0,Respiradero de fisura,False,False,Lanzarote(Spain)
1772,3.0,Estratovolcán,False,False,Papandayan(Indonesia)
1781,4.0,Estratovolcán,False,False,Sakura-jima(Japan)
1826,2.0,Caldera,False,False,Aso(Japan)
1840,0.0,Volcán escudo,False,False,Kilauea(United States)
1840,3.0,Estratovolcán,False,False,Savo(Solomon Is.)
1850,2.0,Escudo piroclástico,False,False,Rabaul(Papua New Guinea)
1858,,Estratovolcán,False,False,Tate-yama(Japan)
1883,2.0,Volcán escudo,False,False,Karthala(Comoros)
1887,3.0,Estratovolcán,False,False,Mayon(Philippines)
1890,2.0,Estratovolcán,False,False,Makian(Indonesia)
1902,4.0,Estratovolcán,False,False,Pelee(Martinique)
1902,6.0,Estratovolcán,False,False,Santa Maria(Guatemala)
1936,3.0,Volcán complejo,False,False,Asama(Japan)
1937,2.0,Estratovolcán,False,False,Llaima(Chile)
1943,3.0,Volcán escudo,False,False,"Azul, Cerro(Ecuador)"
1951,4.0,Estratovolcán,False,False,Lamington(Papua New Guinea)
1970,,Caldera,False,False,Campi Flegrei(Italy)
1981,3.0,Estratovolcán,False,False,Semeru(Indonesia)
1983,1.0,Volcán complejo,False,False,Iliwerung(Indonesia)
1985,1.0,Estratovolcán,False,False,Etna(Italy)
1990,3.0,Estratovolcán,False,False,Sabancaya(Peru)
1990,,Estratovolcán,False,False,"Nyiragongo(Congo, DRC)"
1997,3.0,Estratovolcán,False,False,Semeru(Indonesia)
1999,3.0,Estratovolcán,False,False,Soufriere Hills(Montserrat)
2000,2.0,Estratovolcán,False,False,Merapi(Indonesia)
-1860,6.0,Estratovolcán,False,False,St. Helens(United States)
230,6.0,Caldera,False,False,Taupo(New Zealand)
1169,,Estratovolcán,False,False,Etna(Italy)
1566,3.0,Volcán escudo,False,False,Kirishima(Japan)
1597,4.0,Estratovolcán,False,False,Hekla(Iceland)
1640,3.0,Estratovolcán,False,False,Tungurahua(Ecuador)
1650,4.0,Volcán escudo,False,False,Santorini(Greece)
1660,4.0,Volcán subglacial,False,False,Katla(Iceland)
1672,3.0,Estratovolcán,False,False,Merapi(Indonesia)
1679,,Volcán escudo,False,False,Zukur(Yemen)
1717,3.0,Volcán escudo,False,False,Kirishima(Japan)
1741,4.0,Estratovolcán,False,False,Oshima-Oshima(Japan)
1753,2.0,Caldera,False,False,Grimsvotn(Iceland)
1780,4.0,Estratovolcán,False,False,Sakura-jima(Japan)
1817,4.0,Estratovolcán,False,False,Raung(Indonesia)
1833,2.0,Estratovolcán,False,False,Kaba(Indonesia)
1841,2.0,Estratovolcán,False,False,Kuchinoerabu-jima(Japan)
1843,0.0,Estratovolcán,False,False,Liamuiga(St. Kitts & Nevis)
1871,2.0,Estratovolcán,False,False,Ruang(Indonesia)
1899,2.0,Estratovolcán,False,False,Manam(Papua New Guinea)
1900,2.0,Volcán escudo,False,False,Kirishima(Japan)
1928,3.0,Estratovolcán,False,False,Mayon(Philippines)
1937,4.0,Escudo piroclástico,False,False,Rabaul(Papua New Guinea)
1946,2.0,Estratovolcán,False,False,Sakura-jima(Japan)
1953,0.0,Volcán complejo,False,False,St. Andrew Strait(Papua New Guinea)
1976,3.0,Estratovolcán,False,False,Sangay(Ecuador)
1977,3.0,Estratovolcán,False,False,Kliuchevskoi(Russia)
1981,,Estratovolcán,False,False,Mayon(Philippines)
1992,1.0,Estratovolcán,False,False,Karangetang [Api Siau](Indonesia)
1994,3.0,Escudo piroclástico,False,False,Rabaul(Papua New Guinea)
1997,2.0,Estratovolcán,False,False,Merapi(Indonesia)
2005,4.0,Estratovolcán,False,False,Manam(Papua New Guinea)
2006,,Estratovolcán,False,False,Raoul Island(New Zealand)
2014,,Estratovolcán,False,False,Fogo(Cape Verde)
2015,2.0,Estratovolcán,False,False,Manam(Papua New Guinea)
-1900,6.0,Estratovolcán,False,False,Black Peak(United States)
1477,6.0,Estratovolcán,False,False,Bardarbunga(Iceland)
1597,3.0,Estratovolcán,False,False,Raung(Indonesia)
1673,5.0,Estratovolcán,False,False,Gamkonora(Indonesia)
1754,4.0,Estratovolcán,False,False,Taal(Philippines)
1768,4.0,Estratovolcán,False,False,Cotopaxi(Ecuador)
1792,2.0,Volcán complejo,False,False,Unzen(Japan)
1814,4.0,Estratovolcán,False,False,Mayon(Philippines)
1815,7.0,Estratovolcán,False,False,Tambora(Indonesia)
1818,4.0,Estratovolcán,False,False,Colima(Mexico)
1854,3.0,Estratovolcán,False,False,Alaid(Russia)
1863,,Estratovolcán,False,False,Yasur(Vanuatu)
1872,4.0,Estratovolcán,False,False,Merapi(Indonesia)
1884,,Caldera,False,False,Krakatau(Indonesia)
1888,3.0,Estratovolcán,False,False,Ritter Island(Papua New Guinea)
1888,4.0,Estratovolcán,False,False,Bandai(Japan)
1913,2.0,Estratovolcán,False,False,Semeru(Indonesia)
1916,4.0,Estratovolcán,False,False,Tungurahua(Ecuador)
1920,3.0,Estratovolcán,False,False,Merapi(Indonesia)
1946,2.0,Estratovolcán,False,False,Semeru(Indonesia)
1948,2.0,Volcán complejo,False,False,Iliwerung(Indonesia)
1950,3.0,Estratovolcán,False,False,Camiguin(Philippines)
1950,2.0,Volcán complejo,False,False,Asama(Japan)
1951,,Estratovolcán,False,False,Cosiguina(Nicaragua)
1956,5.0,Estratovolcán,False,False,Bezymianny(Russia)
1958,2.0,Caldera,False,False,Kuwae(Vanuatu)
1967,3.0,Estratovolcán,False,False,Semeru(Indonesia)
1974,3.0,Estratovolcán,False,False,Sakura-jima(Japan)
1979,1.0,Volcán complejo,False,False,Dieng Volc Complex(Indonesia)
1984,3.0,Estratovolcán,False,False,Mayon(Philippines)
1988,3.0,Caldera,False,False,Banda Api(Pacific Ocean)
1993,1.0,Caldera,False,False,Krakatau(Indonesia)
1996,2.0,Estratovolcán,False,False,Karymsky(Russia)
1997,,Estratovolcán,False,False,Soufriere Hills(Montserrat)
2006,2.0,Estratovolcán,False,False,Bulusan(Philippines)
2007,4.0,Estratovolcán,False,False,Manam(Papua New Guinea)
2007,,Estratovolcán,False,False,"Tair, Jebel at(Yemen)"
2011,,Volcán escudo,False,False,Kirishima(Japan)
2012,,Volcán escudo,False,False,Tolbachik(Russia)
2018,1.0,Volcán escudo,False,False,Kilauea(United States)
2020,,Estratovolcán,False,False,Ijen(Indonesia)
-4360,6.0,Caldera,False,False,Macauley Island(New Zealand)
-4000,6.0,Caldera,False,False,Pago(Papua New Guinea)
-50,6.0,Escudo piroclástico,False,False,Apoyeque(Nicaragua)
46,3.0,Volcán escudo,False,False,Santorini(Greece)
500,,Campo volcánico,False,False,"Arhab, Harra of(Yemen)"
787,3.0,Volcán complejo,False,False,Vesuvius(Italy)
1536,3.0,Estratovolcán,False,False,Etna(Italy)
1690,,Volcán complejo,False,False,Vesuvius(Italy)
1726,1.0,Estratovolcán,False,False,Bardarbunga(Iceland)
1730,3.0,Estratovolcán,False,False,Raung(Indonesia)
1742,3.0,Estratovolcán,False,False,Cotopaxi(Ecuador)
1749,3.0,Estratovolcán,False,False,Taal(Philippines)
1848,2.0,Estratovolcán,False,False,Kelut(Indonesia)
1861,3.0,Estratovolcán,False,False,Dubbi(Eritrea)
1892,2.0,Caldera,False,False,Tofua(Tonga)
1897,3.0,Estratovolcán,False,False,Mayon(Philippines)
1902,,Estratovolcán,False,False,Pelee(Martinique)
1912,3.0,Volcán escudo,False,False,"Nyamuragira(Congo, DRC)"
1919,1.0,Estratovolcán,False,False,Popocatepetl(Mexico)
1919,,Volcán submarino,False,False,Banua Wuhu(Indonesia)
1923,2.0,Volcanes submarinos,False,False,"Cendres, Ile des(Vietnam)"
1929,2.0,Estratovolcán,False,False,Etna(Italy)
1939,2.0,Estratovolcán,False,False,Tori-shima(Japan)
1940,2.0,Estratovolcán,False,False,Karangetang [Api Siau](Indonesia)
1947,2.0,Volcán complejo,False,False,Asama(Japan)
1957,2.0,Estratovolcán,False,False,Oshima(Japan)
1979,2.0,Caldera,False,False,Aso(Japan)
1980,,Estratovolcán,False,False,Hood(United States)
1989,,Volcán escudo,False,False,Kirishima(Japan)
1994,1.0,Caldera,False,False,Aso(Japan)
2001,3.0,Estratovolcán,False,False,Etna(Italy)
2011,2.0,Estratovolcán,False,False,Bulusan(Philippines)
2014,,Estratovolcán,False,False,Kelut(Indonesia)
50,6.0,Escudo piroclástico,False,False,Ambrym(Vanuatu)
590,,Estratovolcán,False,False,San Salvador(El Salvador)
1302,,Volcán complejo,False,False,Ischia(Italy)
1568,3.0,Estratovolcán,False,False,Savo(Solomon Is.)
1570,,Estratovolcán,False,False,Mombacho(Nicaragua)
